product_id,product_name,product_brand,site_category_lv1,site_category_lv2,num_reviews,sentiment_score
126474851,Aspirador de Pó Philco Rapid 1000N Vermelho/Preto - 1000W,philco,Eletroportáteis,Aspirador e Vassoura Elétrica,296,0.9594594594594594
132444092,"Smartphone Motorola Moto G 5S Dual Chip Android 7.1.1 Nougat Tela 5.2"" Snapdragon 430 32GB 4G Câmera 16MP - Platinum",,Celulares e Smartphones,Smartphone,278,0.9028776978417267
128010777,"Smartphone Samsung Galaxy J7 Metal Dual Chip Android 6.0 Tela 5.5"" 16GB 4G Câmera 13MP - Dourado",samsung,Celulares e Smartphones,Smartphone,217,0.8755760368663594
129543938,"Smartphone Samsung Galaxy J7 Prime Dual Chip Android Tela 5.5"" 32GB 4G Câmera 13MP - Dourado",samsung,Celulares e Smartphones,Smartphone,184,0.842391304347826
132444050,"Smartphone Motorola Moto G 5S Dual Chip Android 7.1.1 Nougat Tela 5.2"" Snapdragon 430 32GB 4G Câmera 16MP - Dourado",,Celulares e Smartphones,Smartphone,184,0.907608695652174
122701411,"Smart TV LED 32"" Samsung 32J4300 HD com Conversor Digital 2 HDMI 1 USB Wi-Fi 120Hz",samsung,TV e Home Theater,TV,178,0.8820224719101124
132276480,"Smartphone Samsung Galaxy J5 Prime Dual Chip Android 6.0 Tela 5"" Quad-Core 1.4 GHz 32GB 4G Wi-Fi Câmera 13MP com Leitor de Digital - Dourado",,Celulares e Smartphones,Smartphone,163,0.8466257668711656
132474081,"Smartphone Moto G 5S Dual Chip Android 7.0 Tela 5.2"" Snapdradon 32GB 4G Wi-Fi Câmera 16MP - Prata",,Celulares e Smartphones,Smartphone,159,0.9308176100628931
132390047,"Smartphone Samsung Galaxy J5 Pro Dual Chip Android 7.0 Tela 5,2"" Octa-Core 1.6 GHz 32GB 4G Câmera 13MP - Dourado",,Celulares e Smartphones,Smartphone,153,0.9281045751633987
128011681,"Smartphone Samsung Galaxy J7 Metal Dual Chip Android 6.0 Tela 5.5"" 16GB 4G Câmera 13MP - Preto",samsung,Celulares e Smartphones,Smartphone,131,0.9389312977099237
132631701,Mop Giratório Fit + Refil Extra - At Home,,Utilidades Domésticas,Material de Limpeza,130,0.9
